email,domain,breach,breach_date,attack_type,data_exposed,password_hint,password_exposed
employee@linkedin.com,linkedin.com,LinkedIn,2020-12-01,Phishing,Public Profile Data,***uDc,Yes
support@marriott.com,marriott.com,Marriott,2016-02-14,Social Engineering,Security Questions,Not Available,No
info@marriott.com,marriott.com,Marriott,2016-11-03,Insider Leak,Security Questions,***Shv,Yes
admin@marriott.com,marriott.com,Marriott,2018-12-29,Web Vulnerability,Public Profile Data,***3Pa,Yes
security@myspace.com,myspace.com,MySpace,2017-01-21,Social Engineering,Usernames+Passwords,***uC5,Yes
info@linkedin.com,linkedin.com,LinkedIn,2022-12-20,Phishing,Personal Information,***CUH,Yes
security@twitter.com,twitter.com,Twitter,2020-04-05,Unauthorized Access,Public Profile Data,Not Available,No
info@dropbox.com,dropbox.com,Dropbox,2014-08-10,Social Engineering,Emails+Passwords,Not Available,No
contact@equifax.com,equifax.com,Equifax,2024-08-06,Web Vulnerability,Emails+Passwords,Not Available,No
info@facebook.com,facebook.com,Facebook,2024-11-11,Database Leak,Personal Information,Not Available,No
user@canva.com,canva.com,Canva,2017-08-18,Web Vulnerability,Usernames+Passwords,***FPf,Yes
security@linkedin.com,linkedin.com,LinkedIn,2020-03-20,Unauthorized Access,Personal Information,***Le6,Yes
support@facebook.com,facebook.com,Facebook,2016-08-14,Insider Leak,Public Profile Data,***c1C,Yes
admin@linkedin.com,linkedin.com,LinkedIn,2023-09-14,Unauthorized Access,Emails+Phone Numbers,Not Available,No
contact@marriott.com,marriott.com,Marriott,2021-10-16,Database Leak,Public Profile Data,***qJk,Yes
dev@marriott.com,marriott.com,Marriott,2024-06-02,Database Leak,Security Questions,***4bI,Yes
support@canva.com,canva.com,Canva,2022-07-04,Unauthorized Access,Usernames+Passwords,Not Available,No
dev@myspace.com,myspace.com,MySpace,2020-04-30,Insider Leak,Emails+Phone Numbers,***PZ7,Yes
dev@canva.com,canva.com,Canva,2016-03-03,Social Engineering,Personal Information,***Hqc,Yes
contact@equifax.com,equifax.com,Equifax,2023-08-04,Unauthorized Access,Public Profile Data,Not Available,No
contact@marriott.com,marriott.com,Marriott,2014-06-23,Credential Stuffing,Security Questions,***NBz,Yes
support@dropbox.com,dropbox.com,Dropbox,2024-06-08,API Exploit,Security Questions,***qmc,Yes
admin@yahoo.com,yahoo.com,Yahoo,2013-03-09,Phishing,Emails+Passwords,Not Available,No
security@equifax.com,equifax.com,Equifax,2016-01-08,Credential Stuffing,Public Profile Data,Not Available,No
contact@equifax.com,equifax.com,Equifax,2021-12-25,Database Leak,Emails+Passwords,***7eU,Yes
admin@dropbox.com,dropbox.com,Dropbox,2013-05-18,Unauthorized Access,Public Profile Data,***D4l,Yes
user@marriott.com,marriott.com,Marriott,2015-12-11,Database Leak,Public Profile Data,***fdZ,Yes
security@facebook.com,facebook.com,Facebook,2015-07-11,Credential Stuffing,Emails+Passwords,Not Available,No
security@canva.com,canva.com,Canva,2019-12-27,API Exploit,Public Profile Data,***EGa,Yes
user@canva.com,canva.com,Canva,2022-05-15,Unauthorized Access,Emails+Passwords,Not Available,No
contact@twitter.com,twitter.com,Twitter,2016-06-02,Insider Leak,Emails+Passwords,***Dm5,Yes
user@dropbox.com,dropbox.com,Dropbox,2019-04-27,Phishing,Emails+Phone Numbers,***Abx,Yes
support@marriott.com,marriott.com,Marriott,2024-03-19,API Exploit,Personal Information,Not Available,No
info@adobe.com,adobe.com,Adobe,2018-09-15,API Exploit,Emails+Phone Numbers,***GaU,Yes
info@yahoo.com,yahoo.com,Yahoo,2016-05-23,Insider Leak,Personal Information,***ivZ,Yes
contact@marriott.com,marriott.com,Marriott,2020-06-12,Insider Leak,Personal Information,Not Available,No
support@dropbox.com,dropbox.com,Dropbox,2016-07-24,Web Vulnerability,Emails+Phone Numbers,***4VV,Yes
support@canva.com,canva.com,Canva,2018-10-15,Phishing,Emails+Passwords,Not Available,No
user@dropbox.com,dropbox.com,Dropbox,2015-12-12,Insider Leak,Personal Information,Not Available,No
contact@adobe.com,adobe.com,Adobe,2021-10-07,Database Leak,Public Profile Data,Not Available,No
info@canva.com,canva.com,Canva,2013-04-10,Credential Stuffing,Personal Information,Not Available,No
user@linkedin.com,linkedin.com,LinkedIn,2017-11-21,Credential Stuffing,Emails+Phone Numbers,Not Available,No
security@facebook.com,facebook.com,Facebook,2014-12-28,Web Vulnerability,Personal Information,Not Available,No
info@linkedin.com,linkedin.com,LinkedIn,2017-07-29,Credential Stuffing,Public Profile Data,Not Available,No
contact@dropbox.com,dropbox.com,Dropbox,2017-10-27,Unauthorized Access,Personal Information,Not Available,No
admin@adobe.com,adobe.com,Adobe,2018-07-21,Social Engineering,Emails+Passwords,***Fxo,Yes
support@myspace.com,myspace.com,MySpace,2024-10-02,Social Engineering,Emails+Phone Numbers,***Tyz,Yes
contact@canva.com,canva.com,Canva,2017-05-12,Social Engineering,Security Questions,***C6h,Yes
user@marriott.com,marriott.com,Marriott,2023-12-03,Credential Stuffing,Personal Information,Not Available,No
support@facebook.com,facebook.com,Facebook,2022-08-22,Unauthorized Access,Personal Information,Not Available,No
contact@adobe.com,adobe.com,Adobe,2020-07-01,Unauthorized Access,Emails+Phone Numbers,***Lzd,Yes
contact@yahoo.com,yahoo.com,Yahoo,2018-03-12,Insider Leak,Security Questions,Not Available,No
support@facebook.com,facebook.com,Facebook,2020-11-04,Unauthorized Access,Personal Information,Not Available,No
security@adobe.com,adobe.com,Adobe,2021-09-06,Credential Stuffing,Public Profile Data,Not Available,No
employee@dropbox.com,dropbox.com,Dropbox,2015-08-06,Phishing,Emails+Passwords,Not Available,No
info@adobe.com,adobe.com,Adobe,2023-10-07,Credential Stuffing,Emails+Passwords,Not Available,No
contact@equifax.com,equifax.com,Equifax,2018-02-22,Insider Leak,Security Questions,***BuS,Yes
info@myspace.com,myspace.com,MySpace,2013-10-04,Phishing,Personal Information,***l1W,Yes
contact@canva.com,canva.com,Canva,2013-04-30,Credential Stuffing,Emails+Phone Numbers,Not Available,No
admin@myspace.com,myspace.com,MySpace,2014-05-11,Phishing,Personal Information,Not Available,No
support@myspace.com,myspace.com,MySpace,2014-06-29,Insider Leak,Personal Information,***Fd8,Yes
info@facebook.com,facebook.com,Facebook,2024-04-26,Unauthorized Access,Usernames+Passwords,***rgz,Yes
security@dropbox.com,dropbox.com,Dropbox,2016-08-31,Social Engineering,Personal Information,***sJi,Yes
contact@facebook.com,facebook.com,Facebook,2020-03-20,Social Engineering,Security Questions,***RIg,Yes
dev@marriott.com,marriott.com,Marriott,2023-08-01,Phishing,Emails+Phone Numbers,Not Available,No
admin@twitter.com,twitter.com,Twitter,2019-02-14,Database Leak,Security Questions,***VR6,Yes
dev@marriott.com,marriott.com,Marriott,2014-06-12,Unauthorized Access,Emails+Phone Numbers,Not Available,No
contact@linkedin.com,linkedin.com,LinkedIn,2015-04-26,Unauthorized Access,Usernames+Passwords,Not Available,No
contact@yahoo.com,yahoo.com,Yahoo,2020-12-05,API Exploit,Security Questions,Not Available,No
admin@facebook.com,facebook.com,Facebook,2024-11-20,Social Engineering,Emails+Passwords,Not Available,No
employee@yahoo.com,yahoo.com,Yahoo,2019-10-19,Phishing,Usernames+Passwords,Not Available,No
dev@yahoo.com,yahoo.com,Yahoo,2016-11-20,Database Leak,Public Profile Data,Not Available,No
user@twitter.com,twitter.com,Twitter,2024-02-04,Database Leak,Public Profile Data,Not Available,No
info@facebook.com,facebook.com,Facebook,2019-07-12,Web Vulnerability,Usernames+Passwords,Not Available,No
info@adobe.com,adobe.com,Adobe,2018-08-25,Unauthorized Access,Emails+Passwords,Not Available,No
dev@dropbox.com,dropbox.com,Dropbox,2023-05-22,Web Vulnerability,Emails+Passwords,Not Available,No
employee@facebook.com,facebook.com,Facebook,2018-08-07,Insider Leak,Usernames+Passwords,***yxG,Yes
user@equifax.com,equifax.com,Equifax,2021-05-08,Insider Leak,Security Questions,Not Available,No
contact@adobe.com,adobe.com,Adobe,2020-11-05,Social Engineering,Personal Information,Not Available,No
info@canva.com,canva.com,Canva,2023-04-08,Phishing,Emails+Phone Numbers,Not Available,No
user@adobe.com,adobe.com,Adobe,2017-04-20,Phishing,Security Questions,***aN9,Yes
user@dropbox.com,dropbox.com,Dropbox,2022-02-22,Database Leak,Security Questions,Not Available,No
info@linkedin.com,linkedin.com,LinkedIn,2020-05-09,Credential Stuffing,Personal Information,***MqV,Yes
security@yahoo.com,yahoo.com,Yahoo,2021-05-01,Unauthorized Access,Emails+Phone Numbers,Not Available,No
support@dropbox.com,dropbox.com,Dropbox,2023-03-15,Database Leak,Personal Information,Not Available,No
support@adobe.com,adobe.com,Adobe,2014-03-23,Social Engineering,Security Questions,Not Available,No
support@marriott.com,marriott.com,Marriott,2018-04-21,Insider Leak,Security Questions,Not Available,No
support@yahoo.com,yahoo.com,Yahoo,2018-09-12,Unauthorized Access,Emails+Phone Numbers,***mWG,Yes
security@dropbox.com,dropbox.com,Dropbox,2015-09-01,Credential Stuffing,Usernames+Passwords,***yP9,Yes
info@marriott.com,marriott.com,Marriott,2022-02-18,Database Leak,Security Questions,Not Available,No
admin@linkedin.com,linkedin.com,LinkedIn,2018-08-30,Unauthorized Access,Emails+Phone Numbers,***ZNS,Yes
user@yahoo.com,yahoo.com,Yahoo,2013-08-10,Social Engineering,Personal Information,***cS2,Yes
info@equifax.com,equifax.com,Equifax,2017-05-07,Credential Stuffing,Usernames+Passwords,Not Available,No
